"count","url_host_registered_domain"
"468","dainik71bangla.com"
"468","bdsaradin24.com"
"465","bdeduarticle.com"
"464","ournews24.com"
"463","rajshahidiv.gov.bd"
"463","behalardinpratidin.com"
"462","debiganjsongbad.com"
"461","bdprotidinkhabor.com"
"461","newsgarden24.com"
"457","bangladesherkhela.com"
"457","dailyvorerakash.com"
"457","jashorepost.com"
"456","ekhonbarta.com"
"455","sangrampratidin.com"
"454","ajkertanore.com"
"452","pornoskazka7.org"
"449","banglakhaborbd.com"
"448","benarnews.org"
"448","dailyagamirsongbad.com"
"446","bjilibrary.com"
"444","samakalinbangla.com"
"442","bdfinancialnews24.com"
"442","sylhetnewspaper.com"
"441","bonikbarta.com"
"441","hajigonjdc.edu.bd"
"440","i-onlinemedia.net"
"440","rfn24.com"
"438","oitijjhya.com"
"438","dailysylhetmirror.com"
"438","britbangla24.com"
"437","tangail.gov.bd"
"437","rupantorprotidin.com"
"436","dinajpur24.com"
"436","ruposhibangla24.com"
"436","rajbari.gov.bd"
"435","chattrasena.com"
"434","meghnanews.com.bd"
"434","madhukar.news"
"434","pirojpur.gov.bd"
"433","enews71.com"
"432","buriganganews24.com"
"431","asiantvonline.com"
"430","tbn24.com"
"430","ajkerrangunianews.com"
"430","ekotarkantho.com"
"429","muftiabulhusain.com"
"428","coxsbazarshomoy.com"
"428","agamiprojonmo.net"
"428","uttarkon.com"
"428","eibela.com"
"427","dailysylhetbani.com"
"427","bholanews.com"
"427","narsingditimes.com"
"426","suprovatsatkhira.com"
"426","chittagongdiv.gov.bd"
"424","barisal.gov.bd"
"423","banglarnarayanganj.com"
"422","parabaas.com"
"421","mozlumerkontha.com"
"421","agronewstoday.com"
"421","khobor24ghonta.com"
"421","haoranchalerkotha.com"
"419","amaderkantha.com"
"418","dainiksottoprokash.com"
"417","batayon24.com"
"412","probashikantha.com"
"412","somoyernews.com"
"412","railnewsbd.com"
"411","jugabheri.com"
"410","sabujpatardesh.com"
"409","panchagarh.gov.bd"
"408","mymensinghdiv.gov.bd"
"408","rajkotha.com"
"407","lightnewsbd.com"
"407","prostoprosport-bn.com"
"406","odhikarkantho.com"
"406","thedailyagnishikha.com"
"406","dainikkushtia.com"
"406","newsbdjournalist24.com"
"405","chulkati24.com"
"404","barisalbani.com"
