"content_languages","count"
"spa,ina","41765"
"deu,eng,eus","41756"
"eng,deu,por","41742"
"hrv,slv","41673"
"deu,eng,tur","41657"
"eng,srp,bih","41630"
"nld,nor","41578"
"eng,deu,pol","41510"
"rus,hrv","41507"
"zho,ind","41460"
"tel","41440"
"deu,rus,eng","41351"
"eng,ltz","41311"
"eng,hin,san","41239"
"deu,hun","41225"
"ita,eng,por","41184"
"por,lat,eng","41143"
"div,eng","40942"
"rus,uzb,eng","40925"
"eng,rus,tur","40877"
"rus,fra,eng","40805"
"tgk,eng","40708"
"deu,ell","40645"
"eng,wol","40642"
"eng,deu,war","40565"
"rus,bul,eng","40529"
"zho,msa","40525"
"eng,zho,msa","40518"
"spa,jpn","40486"
"por,zho","40423"
"por,deu","40404"
"rus,lit","40254"
"kaz,rus,eng","40252"
"por,rus","40188"
"eng,spa,hin","40178"
"eng,por,rus","40087"
"eng,kor,tha","40078"
"spa,grn,eng","40052"
"eng,deu,zho","39797"
"eng,zho,por","39743"
"fra,zho","39668"
"eng,dan,fra","39637"
"eng,zul","39537"
"zho,eng,vie","39487"
"san,eng","39478"
"pol,eng,lat","39366"
"spa,eng,ara","39261"
"eng,nno,hrv","39165"
"deu,slk","39144"
"zho,deu","39077"
"eng,bel","38939"
"nld,lat,eng","38888"
"fas,pus,eng","38831"
"tur,lat,eng","38798"
"lat,fra","38712"
"dan,deu","38662"
"por,eng,dan","38607"
"eng,zho,tha","38478"
"vie,eng,zho","38418"
"eng,zho,ell","38398"
"eng,nld,dan","38396"
"fra,oci","38182"
"fra,rus","38124"
"deu,eng,ara","38073"
"eng,dan,deu","38028"
"por,oci","37990"
"eng,zho,ces","37953"
"zho,kin","37766"
"deu,ukr","37600"
"eng,ara,fra","37527"
"eng,ara,kor","37512"
"ara,eng,lat","37388"
"rus,eng,kaz","37272"
"lat,eng,ita","37186"
"jpn,deu","37165"
"jpn,eng,sco","37146"
"zho,eng,tha","37102"
"fra,eng,nno","37074"
"nld,spa","37064"
"kor,jpn,eng","37053"
"por,eng,nno","37052"
"pol,ita","36963"
"pol,fra","36819"
"eng,bod","36803"
"ind,eng,sun","36794"
"tha,eng,ind","36713"
"jpn,ces","36697"
"tur,rus","36657"
"rus,ile","36654"
"rus,eng,ind","36602"
"kan","36569"
"kor,eng,vie","36401"
"eng,fra,jpn","36378"
"ara,bos","36330"
"zho,nno","36278"
"por,eng,deu","36212"
"tur,spa","36211"
"rus,slv","36149"
"rus,eng,pol","36096"
"ita,eng,zho","36062"
"ara,eng,dan","35954"
"mlt,eng","35852"
"zho,sco","35840"
"eng,srp,zho","35796"
"eng,lat,ita","35791"
"pus,eng","35791"
"eng,ori","35783"
"eng,ita,cos","35728"
"deu,eng,ltz","35703"
"lat,ita,eng","35702"
"pol,lat,eng","35696"
"ron,eng,lat","35653"
"eng,rus,aze","35492"
"mya","35460"
"ell,eng,fra","35391"
"spa,eng,ron","35388"
"fas,uzb","35261"
"eng,nld,lat","35235"
"por,war","35230"
"zho,glg","35177"
"por,dan,zho","35018"
"fao,eng","34979"
"ind,eng,tur","34930"
"pol,spa","34823"
"spa,eng,nld","34793"
"eng,zho,ind","34768"
"srp,rus","34739"
"jpn,eng,msa","34723"
"kin,eng","34614"
"spa,rus,eng","34531"
"deu,por,eng","34115"
"eng,ara,srp","34100"
"rus,est,eng","34093"
"deu,zho","34079"
"eng,kor,ara","33986"
"aze,eng,rus","33969"
"swe,deu","33951"
"eng,rus,por","33918"
"ces,dan","33898"
"eng,oci","33817"
"eng,tur,lat","33817"
"aze,tur","33798"
"eng,spa,nno","33753"
"tat","33709"
"eng,crs","33706"
"tur,eng,rus","33657"
"jpn,spa","33649"
"tur,ara","33603"
"tur,eng,aze","33582"
"eng,rus,zho","33572"
"hye,rus","33530"
"ind,vie","33521"
"eus,spa,eng","33488"
"kor,dan","33486"
"fra,grn","33380"
"eng,spa,eus","33261"
"eng,fra,war","33252"
"ara,eng,tur","33222"
"swe,nor,eng","33177"
"vie,jpn","33016"
"eng,zho,mal","32999"
"eng,kor,jpn","32965"
"swe,eng,deu","32927"
"eng,amh","32909"
"deu,roh","32884"
"fra,ces","32812"
"ara,fas","32739"
"fra,ell","32668"
"fra,eng,tur","32643"
"eng,por,hin","32452"
"jpn,eng,sun","32451"
"bre","32407"
"jpn,eng,kin","32338"
"tuk","32215"
"rus,ita,eng","32203"
"jpn,por,eng","32115"
"eng,spa,jpn","31920"
"nld,eng,fry","31840"
"zho,eng,ita","31815"
"eng,nld,afr","31697"
"eng,zho,spa","31694"
"jpn,eng,xho","31547"
"rus,eng,est","31544"
"rus,ron,eng","31532"
"ukr,nno","31452"
"rus,tgk","31395"
"deu,tur,eng","31386"
"hun,ron","31338"
"nor,nno","31324"
"eng,ara,fas","31277"
"rus,tur,eng","31079"
"eng,ces,ukr","30982"
"kor,eng,lat","30963"
"zho,kha","30942"
"eng,por,lat","30913"
"eng,roh","30899"
"eng,glv","30845"
"jpn,ita","30777"
"fra,eng,ces","30747"
"fas,eng,ces","30665"
"deu,eng,jpn","30575"
"eng,tur,deu","30554"
"eng,pol,fra","30516"
"nld,eng,ita","30511"
"eng,ind,lat","30507"
"eng,ind,tur","30505"
"eng,slv,zho","30492"
"fra,jpn","30475"
